wave,flux,error
3746.331,2.618e-13,3.344e-14
3751.034,4.267e-13,2.918e-14
3755.735,4.109e-13,2.780e-14
3760.436,4.480e-13,2.854e-14
3765.135,5.770e-13,3.307e-14
3769.834,8.384e-13,3.649e-14
3774.531,6.519e-13,3.516e-14
3779.227,6.137e-13,3.251e-14
3783.922,5.720e-13,2.841e-14
3788.616,5.316e-13,2.527e-14
3793.309,6.024e-13,2.565e-14
3798.001,8.373e-13,2.783e-14
3802.691,9.882e-13,2.834e-14
3807.381,1.246e-12,3.031e-14
3812.070,1.254e-12,2.998e-14
3816.757,1.210e-12,2.967e-14
3821.443,1.171e-12,2.890e-14
3826.128,1.148e-12,2.784e-14
3830.813,1.142e-12,2.665e-14
3835.496,1.081e-12,2.616e-14
3840.178,9.888e-13,2.484e-14
3844.859,8.262e-13,2.300e-14
3849.538,7.159e-13,2.154e-14
3854.217,6.666e-13,2.143e-14
3858.895,6.120e-13,1.982e-14
3863.572,5.801e-13,1.913e-14
3868.247,5.182e-13,1.827e-14
3872.922,5.456e-13,1.643e-14
3877.595,3.977e-13,1.449e-14
3882.267,3.495e-13,1.246e-14
3886.939,3.756e-13,1.267e-14
3891.609,3.802e-13,1.255e-14
3896.278,4.835e-13,1.356e-14
3900.946,5.228e-13,1.476e-14
3905.614,7.507e-13,1.724e-14
3910.280,9.223e-13,1.968e-14
3914.945,1.052e-12,2.117e-14
3919.609,1.032e-12,2.068e-14
3924.271,9.448e-13,1.949e-14
3928.933,8.375e-13,1.756e-14
3933.594,8.017e-13,1.690e-14
3938.254,7.547e-13,1.644e-14
3942.913,7.558e-13,1.624e-14
3947.570,6.611e-13,1.490e-14
3952.227,5.585e-13,1.306e-14
3956.883,4.384e-13,1.074e-14
3961.537,3.673e-13,9.497e-15
3966.191,3.699e-13,8.918e-15
3970.843,3.600e-13,9.146e-15
3975.495,4.248e-13,9.818e-15
3980.145,4.056e-13,1.005e-14
3984.795,4.658e-13,1.041e-14
3989.443,4.659e-13,1.059e-14
3994.091,4.376e-13,1.053e-14
3998.737,4.580e-13,1.070e-14
4003.383,4.562e-13,1.056e-14
4008.027,4.693e-13,1.068e-14
4012.671,4.632e-13,1.036e-14
4017.313,4.552e-13,1.017e-14
4021.954,4.192e-13,9.628e-15
4026.595,4.393e-13,9.726e-15
4031.234,5.053e-13,1.005e-14
4035.872,4.806e-13,1.022e-14
4040.510,5.693e-13,1.093e-14
4045.146,6.500e-13,1.177e-14
4049.782,7.759e-13,1.247e-14
4054.416,8.753e-13,1.306e-14
4059.049,8.374e-13,1.303e-14
4063.682,8.828e-13,1.298e-14
4068.313,8.166e-13,1.247e-14
4072.944,7.865e-13,1.204e-14
4077.573,7.035e-13,1.132e-14
4082.201,6.450e-13,1.028e-14
4086.829,5.647e-13,9.210e-15
4091.455,4.869e-13,8.458e-15
4096.081,4.354e-13,7.709e-15
4100.705,3.665e-13,7.196e-15
4105.329,3.594e-13,7.001e-15
4109.952,3.544e-13,6.885e-15
4114.573,3.425e-13,6.980e-15
4119.194,3.789e-13,7.283e-15
4123.813,3.536e-13,7.193e-15
4128.432,3.476e-13,7.273e-15
4133.050,3.798e-13,7.341e-15
4137.667,4.063e-13,7.345e-15
4142.282,3.812e-13,7.372e-15
4146.897,3.738e-13,7.259e-15
4151.511,3.816e-13,7.242e-15
4156.124,3.651e-13,7.118e-15
4160.736,3.839e-13,7.269e-15
4165.347,3.829e-13,7.113e-15
4169.957,3.830e-13,7.107e-15
4174.566,3.498e-13,6.887e-15
4179.175,3.889e-13,6.921e-15
4183.782,3.684e-13,6.917e-15
4188.388,3.876e-13,7.021e-15
4192.994,3.624e-13,6.879e-15
4197.598,3.732e-13,6.880e-15
4202.202,3.500e-13,6.763e-15
4206.804,3.375e-13,6.632e-15
4211.406,3.663e-13,6.815e-15
4216.006,4.031e-13,6.834e-15
4220.606,3.442e-13,6.669e-15
4225.205,3.515e-13,6.627e-15
4229.803,3.586e-13,6.511e-15
4234.400,3.738e-13,6.503e-15
4238.996,3.742e-13,6.643e-15
4243.591,3.456e-13,6.409e-15
4248.185,3.594e-13,6.415e-15
4252.779,3.664e-13,6.428e-15
4257.371,3.716e-13,6.366e-15
4261.963,3.411e-13,6.337e-15
4266.553,3.598e-13,6.321e-15
4271.143,3.445e-13,6.334e-15
4275.732,3.478e-13,6.302e-15
4280.319,3.563e-13,6.363e-15
4284.906,3.839e-13,6.613e-15
4289.492,4.373e-13,7.025e-15
4294.077,5.823e-13,7.918e-15
4298.662,7.235e-13,8.633e-15
4303.245,8.472e-13,9.311e-15
4307.827,9.712e-13,9.910e-15
4312.409,1.043e-12,1.033e-14
4316.990,9.141e-13,9.845e-15
4321.569,8.927e-13,9.499e-15
4326.148,8.267e-13,8.766e-15
4330.726,7.619e-13,8.292e-15
4335.303,7.078e-13,7.729e-15
4339.880,5.603e-13,7.020e-15
4344.455,4.087e-13,6.292e-15
4349.029,3.681e-13,6.075e-15
4353.603,3.114e-13,5.986e-15
4358.176,3.327e-13,6.211e-15
4362.748,3.243e-13,6.135e-15
4367.319,3.169e-13,6.179e-15
4371.889,3.251e-13,6.084e-15
4376.458,3.176e-13,6.028e-15
4381.026,3.303e-13,6.126e-15
4385.594,2.905e-13,6.053e-15
4390.160,3.232e-13,6.059e-15
4394.726,3.188e-13,6.122e-15
4399.291,3.161e-13,6.086e-15
4403.855,3.064e-13,6.163e-15
4408.418,2.767e-13,5.986e-15
4412.981,2.926e-13,6.013e-15
4417.542,3.155e-13,6.096e-15
4422.103,3.212e-13,6.075e-15
4426.662,3.325e-13,6.194e-15
4431.221,3.441e-13,6.272e-15
4435.779,3.427e-13,6.289e-15
4440.337,3.944e-13,6.431e-15
4444.893,3.678e-13,6.425e-15
4449.449,3.460e-13,6.382e-15
4454.003,3.569e-13,6.325e-15
4458.557,3.250e-13,6.279e-15
4463.110,3.778e-13,6.411e-15
4467.663,3.590e-13,6.306e-15
4472.214,3.391e-13,6.289e-15
4476.765,3.220e-13,6.182e-15
4481.314,3.110e-13,6.050e-15
4485.863,2.963e-13,6.008e-15
4490.411,3.232e-13,5.950e-15
4494.959,2.998e-13,5.927e-15
4499.505,2.871e-13,5.851e-15
4504.051,2.822e-13,5.821e-15
4508.595,3.039e-13,5.761e-15
4513.139,2.858e-13,5.729e-15
4517.683,2.959e-13,5.690e-15
4522.225,2.781e-13,5.562e-15
4526.766,2.759e-13,5.457e-15
4531.307,2.988e-13,5.525e-15
4535.847,2.790e-13,5.481e-15
4540.386,2.799e-13,5.380e-15
4544.925,2.809e-13,5.288e-15
4549.462,2.581e-13,5.274e-15
4553.999,2.864e-13,5.217e-15
4558.535,2.584e-13,5.150e-15
4563.070,2.606e-13,5.062e-15
4567.604,2.804e-13,5.030e-15
4572.138,2.832e-13,5.009e-15
4576.671,2.772e-13,4.920e-15
4581.203,2.737e-13,4.819e-15
4585.734,2.800e-13,4.821e-15
4590.264,2.775e-13,4.813e-15
4594.794,2.901e-13,4.781e-15
4599.323,3.048e-13,4.810e-15
4603.851,2.885e-13,4.712e-15
4608.378,2.904e-13,4.668e-15
4612.905,2.956e-13,4.652e-15
4617.431,2.938e-13,4.637e-15
4621.956,3.122e-13,4.671e-15
4626.480,3.171e-13,4.605e-15
4631.003,2.956e-13,4.557e-15
4635.526,3.308e-13,4.653e-15
4640.048,3.344e-13,4.598e-15
4644.569,3.099e-13,4.497e-15
4649.089,3.023e-13,4.451e-15
4653.609,3.241e-13,4.476e-15
4658.128,2.929e-13,4.355e-15
4662.646,2.971e-13,4.323e-15
4667.163,3.232e-13,4.358e-15
4671.680,3.384e-13,4.367e-15
4676.196,3.287e-13,4.345e-15
4680.711,3.367e-13,4.297e-15
4685.225,3.094e-13,4.254e-15
4689.739,3.120e-13,4.191e-15
4694.252,2.997e-13,4.117e-15
4698.764,2.865e-13,4.021e-15
4703.275,2.736e-13,3.941e-15
4707.786,2.659e-13,3.906e-15
4712.296,2.792e-13,3.919e-15
4716.805,2.781e-13,3.901e-15
4721.314,2.588e-13,3.805e-15
4725.821,2.472e-13,3.756e-15
4730.328,2.733e-13,3.817e-15
4734.835,2.559e-13,3.754e-15
4739.340,2.560e-13,3.702e-15
4743.845,2.525e-13,3.664e-15
4748.349,2.410e-13,3.601e-15
4752.852,2.374e-13,3.510e-15
4757.355,2.262e-13,3.455e-15
4761.857,2.221e-13,3.445e-15
4766.358,2.274e-13,3.393e-15
4770.859,2.264e-13,3.387e-15
4775.359,2.461e-13,3.426e-15
4779.858,2.254e-13,3.362e-15
4784.356,2.302e-13,3.380e-15
4788.854,2.247e-13,3.314e-15
4793.351,2.289e-13,3.328e-15
4797.847,2.245e-13,3.300e-15
4802.343,2.280e-13,3.297e-15
4806.838,2.262e-13,3.292e-15
4811.332,2.258e-13,3.267e-15
4815.825,2.280e-13,3.303e-15
4820.318,2.406e-13,3.359e-15
4824.810,2.549e-13,3.440e-15
4829.302,3.370e-13,3.825e-15
4833.792,5.497e-13,4.685e-15
4838.282,8.765e-13,5.765e-15
4842.772,1.184e-12,6.613e-15
4847.261,1.484e-12,7.291e-15
4851.749,1.632e-12,7.509e-15
4856.236,1.767e-12,7.719e-15
4860.723,2.007e-12,8.143e-15
4865.209,1.848e-12,7.745e-15
4869.694,9.811e-13,5.758e-15
4874.179,3.697e-13,3.793e-15
4878.663,2.477e-13,3.267e-15
4883.146,2.351e-13,3.227e-15
4887.628,2.240e-13,3.186e-15
4892.110,2.212e-13,3.197e-15
4896.592,2.382e-13,3.256e-15
4901.072,2.442e-13,3.280e-15
