wave,inten,std
5035.194,24897.947,50.063
5039.655,25080.737,50.250
5044.116,25080.278,50.249
5048.576,25324.368,50.501
5053.035,25175.107,50.355
5057.494,25225.959,50.389
5061.952,25267.786,50.434
5066.409,25273.648,50.450
5070.866,25491.495,50.669
5075.322,25715.628,50.883
5079.778,25655.645,50.837
5084.233,25559.300,50.738
5088.688,25600.551,50.764
5093.142,25621.503,50.790
5097.595,25731.172,50.902
5102.048,25651.010,50.812
5106.500,25688.030,50.851
5110.952,25857.109,50.999
5115.403,25739.398,50.897
5119.854,25846.166,50.997
5124.304,25946.267,51.100
5128.753,25901.809,51.054
5133.202,25838.062,50.998
5137.650,25988.261,51.137
5142.098,25769.601,50.936
5146.545,25995.024,51.137
5150.991,25902.418,51.066
5155.437,25840.195,51.011
5159.883,25948.192,51.121
5164.328,26163.931,51.323
5168.772,26032.831,51.195
5173.216,25875.099,51.011
5177.659,25988.126,51.142
5182.102,25948.220,51.114
5186.544,26001.653,51.158
5190.986,26099.379,51.246
5195.427,25862.329,51.030
5199.867,26147.324,51.309
5204.307,26124.997,51.284
5208.747,26155.882,51.325
5213.186,26135.867,51.293
5217.624,26043.706,51.204
5222.062,26091.493,51.241
5226.499,26252.571,51.404
5230.936,26079.023,51.229
5235.372,26245.552,51.398
5239.808,26173.979,51.319
5244.243,26269.726,51.420
5248.678,26099.945,51.255
5253.112,26177.972,51.342
5257.546,26094.604,51.240
5261.979,25978.228,51.139
5266.412,26040.813,51.189
5270.844,26066.328,51.222
5275.276,26165.834,51.329
5279.707,26134.194,51.289
5284.137,26075.368,51.224
5288.568,26099.683,51.258
5292.997,26016.024,51.185
5297.426,26089.029,51.246
5301.855,26033.448,51.198
5306.283,26209.002,51.363
5310.711,25976.520,51.116
5315.138,26015.165,51.164
5319.565,25860.632,51.029
5323.991,25986.506,51.126
5328.416,25985.799,51.146
5332.842,26098.975,51.261
5337.266,25979.740,51.133
5341.690,25925.532,51.098
5346.114,25985.357,51.157
5350.537,25961.155,51.142
5354.960,26035.758,51.205
5359.383,26029.137,51.215
5363.804,25932.436,51.100
5368.226,25905.344,51.067
5372.647,25881.733,51.033
5377.067,25707.939,50.888
5381.487,25710.146,50.885
5385.907,25697.126,50.863
5390.326,25569.940,50.740
5394.744,25637.493,50.808
5399.162,25496.370,50.663
5403.580,25564.786,50.760
5407.997,25363.257,50.537
5412.414,25216.501,50.399
5416.830,25163.276,50.341
5421.246,25057.353,50.262
5425.662,25094.269,50.276
5430.077,24935.665,50.118
5434.491,25011.587,50.196
5438.905,24902.319,50.086
5443.319,24757.529,49.951
5447.732,24843.091,50.036
5452.145,24865.587,50.062
5456.557,24772.494,49.982
5460.969,24809.899,50.025
5465.380,24665.033,49.890
5469.792,24700.993,49.900
5474.202,24680.571,49.870
5478.612,24658.195,49.826
5483.022,24586.579,49.766
5487.431,24522.346,49.708
5491.840,24445.708,49.608
5496.249,24600.244,49.776
5500.657,24578.093,49.743
5505.065,24372.125,49.550
5509.472,24603.746,49.764
5513.879,24467.482,49.636
5518.285,24625.447,49.791
5522.691,24568.852,49.732
5527.097,24673.779,49.828
5531.502,24502.911,49.670
5535.907,24443.427,49.595
5540.311,24459.127,49.629
5544.715,24514.850,49.677
5549.119,24269.450,49.439
5553.522,24368.747,49.528
5557.925,24525.807,49.675
5562.327,24413.213,49.566
5566.729,24306.596,49.464
5571.131,24452.058,49.618
5575.532,24292.092,49.451
5579.933,24200.932,49.384
5584.334,24083.791,49.262
5588.734,24022.848,49.182
5593.133,24243.004,49.403
