wave,inten,std
5412.414,135.496,2.028
5416.830,139.144,2.091
5421.246,123.613,2.047
5425.662,116.671,2.028
5430.077,117.928,1.989
5434.491,118.055,1.987
5438.905,120.918,1.997
5443.319,118.930,2.014
5447.732,117.959,2.023
5452.145,121.239,2.091
5456.557,132.267,2.213
5460.969,121.119,2.351
5465.380,127.298,2.360
5469.792,124.478,2.159
5474.202,126.412,2.008
5478.612,120.286,1.975
5483.022,121.406,1.978
5487.431,119.435,1.951
5491.840,121.294,1.938
5496.249,117.044,1.890
5500.657,120.450,1.893
5505.065,131.661,1.896
5509.472,127.151,1.909
5513.879,129.044,1.917
5518.285,133.087,1.950
5522.691,131.699,1.936
5527.097,114.022,1.869
5531.502,124.468,1.890
5535.907,124.834,1.884
5540.311,140.572,1.945
5544.715,123.813,1.858
5549.119,117.971,1.844
5553.522,117.901,1.813
5557.925,111.701,1.842
5562.327,109.246,1.833
5566.729,125.392,1.849
5571.131,126.148,1.868
5575.532,117.845,1.897
5579.933,129.413,1.913
5584.334,120.980,1.896
5588.734,127.325,1.873
5593.133,124.042,1.867
5597.533,125.581,1.851
5601.932,130.240,1.863
5606.330,111.990,1.812
5610.729,122.452,1.827
5615.126,116.219,1.821
5619.524,123.466,1.829
5623.921,118.411,1.820
5628.318,110.922,1.802
5632.714,113.906,1.812
5637.110,118.468,1.830
5641.506,113.483,1.807
5645.901,116.834,1.807
5650.296,118.416,1.819
5654.691,127.242,1.854
5659.085,116.756,1.804
5663.479,114.637,1.832
5667.873,115.300,1.856
5672.266,122.925,1.924
5676.659,130.142,1.949
5681.051,125.099,1.956
5685.443,128.924,1.992
5689.835,114.964,2.031
5694.227,120.301,1.999
5698.618,118.867,1.922
5703.009,115.715,1.885
5707.399,111.889,1.847
5711.789,110.240,1.846
5716.179,115.562,1.870
5720.569,115.059,1.830
5724.958,114.501,1.827
5729.347,115.588,1.802
5733.735,111.285,1.778
5738.124,111.926,1.772
5742.512,107.449,1.761
5746.899,109.837,1.783
5751.286,118.805,1.806
5755.673,123.983,1.836
5760.060,106.825,1.805
5764.446,113.367,1.853
5768.832,106.576,1.935
5773.218,114.187,1.948
5777.604,116.374,1.901
5781.989,130.816,1.865
5786.374,132.132,1.932
5790.758,145.995,2.073
5795.142,171.780,2.180
5799.526,197.814,2.199
5803.910,215.531,2.257
5808.293,193.970,2.138
5812.676,173.065,2.092
5817.059,155.327,1.990
5821.442,139.040,1.919
5825.824,114.220,1.850
5830.206,119.584,1.874
5834.587,115.334,1.832
5838.969,109.951,1.837
5843.350,105.483,1.825
5847.731,104.829,1.829
5852.111,102.858,1.828
5856.491,108.961,1.860
5860.871,130.452,1.951
5865.251,186.947,2.148
5869.631,302.619,2.567
5874.010,567.497,3.331
5878.389,664.122,3.575
5882.768,317.534,2.680
5887.146,140.024,2.009
